,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
393,20.00,54,The Greater Journey: Americans in Paris,"2,435",4.5,David McCullough,Hardcover,2015
394,19.32,55,Switch: How to Change Things When Change Is Hard,"5,453",4.6,Chip Heath,Hardcover,2015
395,11.99,56,Every Thing On It,"1,853",4.9,Shel Silverstein,Hardcover,2015
396,10.49,57,Miss Peregrine's Home for Peculiar Children,"36,613",4.3,Ransom Riggs,Hardcover,2015
397,14.63,58,Moonwalking With Einstein: The Art and Science of Remembering Everything,"9,639",4.5,Joshua Foer,Hardcover,2015
398,7.10,59,"Great Gatsby, the; (Us Import Ed.)","14,097",4.4,F. Scott Fitzgerald,Paperback,2015
399,15.94,60,The Help,"32,363",4.7,Kathryn Stockett,Hardcover,2015
400,26.59,61,1Q84: A novel,"8,963",4.4,Haruki Murakami,Hardcover,2015
401,14.84,62,Boomerang: Travels in the New Third World,"3,252",4.4,Michael Lewis,Hardcover,2015
402,11.35,63,Who Moved My Cheese,"24,135",4.6,Spencer Johnson,Hardcover,2015
403,22.99,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","2,571",4.5,Tom Rath,Hardcover,2015
404,107.99,65,Elder Scrolls V: Skyrim: Prima Official Game Guide,David Hodgson,4.6,,Paperback,2015
405,11.24,66,The Glass Castle: A Memoir (book),"37,750",4.6,Jeannette Walls,Paperback,2015
406,7.83,67,The Book Thief,"65,550",4.6,Markus Zusak,Paperback,2015
407,13.79,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich","25,295",4.5,Timothy Ferriss,Hardcover,2015
408,8.96,69,"Oh, the Places You'll Go!  ","45,644",4.9,Dr. Seuss,Hardcover,2015
409,13.58,70,Through My Eyes,"1,236",4.6,Tim Tebow,Hardcover,2015
410,16.91,71,The Land of Painted Caves: A Novel (Earth's Children),"9,393",4.2,Jean M. Auel,Hardcover,2015
411,19.90,72,"The Social Animal: The Hidden Sources of Love, Character, and Achievement","1,199",4.4,David Brooks,Hardcover,2015
412,23.88,73,A Guide to the Project Management Body of Knowledge,748,4.5,Project Management Institute,Paperback,2015
413,21.39,74,Guinness World Records 2012,508,4.5,Guinness World Records,Hardcover,2015
414,23.79,75,State of Wonder,"9,526",4.3,Ann Patchett,Hardcover,2015
415,13.53,76,A Visit from the Goon Squad,"9,877",4.0,Jennifer Egan,Paperback,2015
416,15.39,77,"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",Caldwell B. Esselstyn Jr.,4.6,,Paperback,2015
417,38.97,78,Harry Potter Paperback Box Set (Books 1-7),"109,389",4.9,J. K. Rowling,Paperback,2015
418,13.39,79,Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),"9,271",4.5,Janet Evanovich,Hardcover,2015
419,10.95,80,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,"12,832",4.6,Sean Covey,Paperback,2015
420,18.29,51,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,"1,943",4.7,Deb Perelman,Hardcover,2016
421,16.89,52,What to Expect When You're Expecting,"29,180",4.8,Heidi Murkoff,Paperback,2016
422,38.88,53,The Walking Dead: Compendium One,"8,435",4.8,Robert Kirkman,Paperback,2016
423,17.76,54,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,"3,687",4.4,Nate Silver,Hardcover,2016
424,8.99,55,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),"12,509",4.5,The Oatmeal,Paperback,2016
425,16.00,56,A Dance with Dragons (A Song of Ice and Fire),"47,170",4.6,George R. R. Martin,Hardcover,2016
426,14.25,57,America Again: Re-becoming the Greatness We Never Weren't,649,4.3,Stephen Colbert,Hardcover,2016
427,,58,LEGO NINJAGO: Character Encyclopedia,DK Publishing,4.5,,Hardcover,2016
428,16.63,59,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"42,279",4.5,Chris Kyle,Hardcover,2016
429,13.33,60,Outliers: The Story of Success,"35,368",4.6,Malcolm Gladwell,Paperback,2016
430,14.03,61,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,876,4.5,Doug Lemov,Paperback,2016
431,14.98,62,Bared to You,"31,736",4.4,Sylvia Day,Paperback,2016
432,7.74,63,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"105,354",4.7,Don Miguel Ruiz,Paperback,2016
433,22.99,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","2,571",4.5,Tom Rath,Hardcover,2016
434,15.00,65,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,,Hardcover,2016
435,14.87,66,Crazy Love: Overwhelmed by a Relentless God,"2,247",4.7,Francis Chan,Paperback,2016
436,14.35,67,Go the F**k to Sleep,"21,988",4.8,Adam Mansbach,Hardcover,2016
437,16.35,68,Bring Up the Bodies,"18,352",4.5,Hilary Mantel,Hardcover,2016
438,15.69,69,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)","1,562",4.6,Jim Collins,Hardcover,2016
439,20.37,70,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,Joel Fuhrman MD,4.5,,Mass Market Paperback,2016
440,16.29,71,"Reflected in You (Crossfire, Book 2)","23,223",4.6,Sylvia Day,Paperback,2016
441,11.35,72,Who Moved My Cheese,"24,135",4.6,Spencer Johnson,Hardcover,2016
442,7.83,73,The Book Thief,"65,550",4.6,Markus Zusak,Paperback,2016
443,23.88,74,A Guide to the Project Management Body of Knowledge,748,4.5,Project Management Institute,Paperback,2016
444,17.99,75,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity","8,989",4.2,Katherine Boo,Hardcover,2016
445,17.48,76,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)","6,568",4.5,Charlaine Harris,Hardcover,2016
446,15.29,77,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","11,897",4.6,Kerry Patterson,Paperback,2016
447,8.79,78,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,"3,148",4.5,Gene Stone,Paperback,2016
448,12.99,79,The Jesus Storybook Bible: Every Story Whispers His Name,"12,376",4.9,Sally Lloyd-Jones,Hardcover,2016
449,15.98,80,Notorious Nineteen: A Stephanie Plum Novel,"14,260",4.5,Janet Evanovich,Hardcover,2016
450,15.68,51,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","75,136",4.7,Laura Hillenbrand,Hardcover,2016
451,,52,Ender's Game (The Ender Quintet),"39,161",4.6,Orson Scott Card,Mass Market Paperback,2016
452,,53,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"39,634",4.7,Brené Brown,Paperback,2016
