,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
283,8.39,14,The 5 Love Languages: The Secret to Love that Lasts,"88,081",4.8,Gary Chapman,Paperback,2013
284,4.78,15,First 100 Words: A Padded Board Book,"36,473",4.7,Roger Priddy,Board book,2013
285,,16,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),"17,263",4.9,Dav Pilkey,Hardcover,2013
286,14.69,17,Educated: A Memoir,"97,873",4.7,Tara Westover,Hardcover,2013
287,8.89,18,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,"44,668",4.7,Jen Sincero,Paperback,2013
288,16.49,19,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Dr. Steven R Gundry  MD,4.4,,Hardcover,2013
289,5.94,20,Giraffes Can't Dance,Giles Andreae,4.8,,Board book,2013
290,26.10,21,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),Dungeons & Dragons,4.9,,Hardcover,2013
291,20.90,22,Homebody: A Guide to Creating Spaces You Never Want to Leave,"11,328",4.8,Joanna Gaines,Hardcover,2013
292,6.56,23,The Very Hungry Caterpillar,"58,022",4.9,Eric Carle,Board book,2013
293,10.00,24,Crazy Rich Asians (Crazy Rich Asians Trilogy),"52,375",4.3,Kevin Kwan,Paperback,2013
294,12.14,25,The Hate U Give: A Printz Honor Winner,"31,409",4.7,Angie Thomas,Hardcover,2013
295,11.12,26,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,"13,211",4.4,Laurel Randolph,Paperback,2013
296,7.74,27,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"105,354",4.7,Don Miguel Ruiz,Paperback,2013
297,9.40,28,The Wonderful Things You Will Be,"27,406",4.9,Emily Winfield Martin,Hardcover,2013
298,5.68,29,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,,Board book,2013
299,4.98,30,The Pout-Pout Fish,"25,361",4.8,Deborah Diesen,Board book,2013
300,14.69,1,Where the Crawdads Sing,"429,983",4.8,Delia Owens,Hardcover,2014
301,19.59,2,Becoming,"140,241",4.8,Michelle Obama,Hardcover,2014
302,14.69,3,Educated: A Memoir,"97,873",4.7,Tara Westover,Hardcover,2014
303,6.79,4,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),"24,569",4.9,Dav Pilkey,Hardcover,2014
304,16.00,5,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","27,935",4.6,Rachel Hollis,Hardcover,2014
305,7.76,6,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),"29,490",4.9,Dav Pilkey,Hardcover,2014
306,8.96,7,Wrecking Ball (Diary of a Wimpy Kid Book 14),"18,982",4.9,Jeff Kinney,Hardcover,2014
307,9.40,8,The Wonderful Things You Will Be,"27,406",4.9,Emily Winfield Martin,Hardcover,2014
308,,9,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)","69,773",4.8,School Zone,Paperback,2014
309,8.39,10,The 5 Love Languages: The Secret to Love that Lasts,"88,081",4.8,Gary Chapman,Paperback,2014
310,18.00,11,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","14,496",4.6,Rachel Hollis,Hardcover,2014
311,5.28,12,The Wonky Donkey,"78,894",4.8,Craig Smith,Paperback,2014
312,14.09,13,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"130,364",4.6,Mark Manson,Hardcover,2014
313,6.99,14,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),"30,467",4.6,M Prefontaine,Paperback,2014
314,27.98,15,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","21,671",4.8,Samin Nosrat,Hardcover,2014
315,6.56,16,The Very Hungry Caterpillar,"58,022",4.9,Eric Carle,Board book,2014
316,11.99,17,"What Should Danny Do? (The Power to Choose Series) (The Power to Choose, 1)","22,975",4.8,Adir Levy,Hardcover,2014
317,17.44,18,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,"17,810",4.8,Lysa TerKeurst,Hardcover,2014
318,6.99,19,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls","33,079",4.8,Hopscotch Girls,Paperback,2014
319,7.74,20,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"105,354",4.7,Don Miguel Ruiz,Paperback,2014
320,,21,Unfreedom of the Press,"9,355",4.9,Mark R. Levin,Hardcover,2014
321,8.99,22,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),"19,793",4.9,Dav Pilkey,Hardcover,2014
322,5.94,23,Giraffes Can't Dance,Giles Andreae,4.8,,Board book,2014
323,4.19,24,If Animals Kissed Good Night,"72,084",4.8,Ann Whitford Paul,Board book,2014
324,8.96,25,"Oh, the Places You'll Go!  ","45,644",4.9,Dr. Seuss,Hardcover,2014
325,21.00,26,Howard Stern Comes Again,"8,064",4.5,Howard Stern,Hardcover,2014
326,6.24,27,Guts: A Graphic Novel,"14,444",4.8,Raina Telgemeier,Paperback,2014
327,8.89,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,,Hardcover,2014
328,29.98,29,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)","25,993",4.9,J. K. Rowling,Hardcover,2014
329,13.07,30,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),"18,562",4.8,Amy Shields,Hardcover,2014
330,19.49,51,Diary of a Wimpy Kid Do-it-yourself Book,"9,930",4.8,Jeff Kinney,Hardcover,2014
331,21.53,52,Open: An Autobiography,"19,292",4.6,Andre Agassi,Hardcover,2014
332,12.19,53,Pride and Prejudice and Zombies,Jane Austen,4.2,,Paperback,2014
333,15.52,54,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,912,4.3,"Lifetime Television,",Paperback,2014
334,18.51,55,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,907,4.4,Lisa Lillien,Paperback,2014
335,17.74,56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","23,333",4.7,Christopher McDougall,Hardcover,2014
336,8.06,57,A Bold Fresh Piece of Humanity,860,4.6,Bill O'Reilly,Hardcover,2014
337,13.24,58,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,"5,699",4.8,Ree Drummond,Hardcover,2014
338,7.83,59,The Book Thief,"65,550",4.6,Markus Zusak,Paperback,2014
339,16.99,60,South of Broad,"3,959",4.5,Pat Conroy,Hardcover,2014
340,10.33,61,The Omnivore's Dilemma: A Natural History of Four Meals,"5,143",4.6,Michael Pollan,Paperback,2014
341,18.18,62,The Host,"13,117",4.6,Stephenie Meyer,Hardcover,2014
342,13.19,63,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,"1,028",4.3,Jillian Michaels,Hardcover,2014
343,15.34,64,Ford County: Stories,"7,704",4.3,John Grisham,Hardcover,2014
344,11.00,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies","1,118",4.6,Michelle Malkin,Hardcover,2014
345,13.42,66,Blink: The Power of Thinking Without Thinking,"12,714",4.5,Malcolm Gladwell,Paperback,2014
346,11.47,67,"Diary of a Wimpy Kid, Book 1","26,482",4.6,Jeff Kinney,Hardcover,2014
347,9.82,68,The Graveyard Book,"13,722",4.6,Neil Gaiman,Hardcover,2014
348,27.44,69,An Echo in the Bone (Outlander),"33,705",4.7,Diana Gabaldon,Hardcover,2014
349,19.99,70,"The Gathering Storm (Wheel of Time, Book 12)","12,551",4.8,Robert Jordan,Hardcover,2014
350,12.98,71,Dreams from My Father: A Story of Race and Inheritance,"10,434",4.7,Barack Obama,Paperback,2014
351,16.23,72,Pirate Latitudes: A Novel,"6,501",4.2,Michael Crichton,Hardcover,2014
352,,73,The Official SAT Study Guide: For the New SAT (tm),The College Board,4.5,,Paperback,2014
353,18.85,74,Getting Things Done: The Art of Stress-Free Productivity,"5,229",4.5,David Allen,Paperback,2014
354,10.30,75,How to Win Friends & Influence People (Dale Carnegie Books),"105,360",4.7,Dale Carnegie,Paperback,2014
355,,76,The Official SAT Study Guide,The College Board,4.4,,Paperback,2014
356,11.97,77,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),"7,020",4.5,Janet Evanovich,Hardcover,2014
357,12.94,78,Sarah's Key,"10,972",4.5,Tatiana de Rosnay,Paperback,2014
358,7.99,79,From Dead to Worse (Sookie Stackhouse/True Blood),"3,191",4.6,Charlaine Harris,Mass Market Paperback,2014
359,19.07,80,Wolf Hall,"19,606",4.2,Hilary Mantel,Hardcover,2014
360,20.00,51,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,Paperback,2015
361,12.52,52,Cleopatra: A Life,"2,213",4.2,Stacy Schiff,Hardcover,2015
362,18.18,53,Freedom: A Novel,"5,720",4.2,Jonathan Franzen,Hardcover,2015
363,13.69,54,Freedom,"5,720",4.2,Jonathan Franzen,Hardcover,2015
364,17.74,55,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","23,333",4.7,Christopher McDougall,Hardcover,2015
365,23.19,56,Fall of Giants (The Century Trilogy),"51,154",4.4,Ken Follett,Hardcover,2015
366,10.39,57,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia","14,913",4.4,Elizabeth Gilbert,Paperback,2015
367,11.99,58,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia","14,913",4.4,Elizabeth Gilbert,Paperback,2015
368,19.51,59,Tao I: The Way of All Life,Zhi Gang Sha Dr.,4.4,,Hardcover,2015
369,9.25,60,Chelsea Chelsea Bang Bang,"1,518",4.4,Chelsea Handler,Hardcover,2015
370,9.41,61,Let the Great World Spin: A Novel,"3,570",4.3,Colum McCann,Paperback,2015
371,13.24,62,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,"5,699",4.8,Ree Drummond,Hardcover,2015
372,15.98,63,The Tipping Point: How Little Things Can Make a Big Difference,"8,041",4.4,Malcolm Gladwell,Paperback,2015
373,10.33,64,The Omnivore's Dilemma: A Natural History of Four Meals,"5,143",4.6,Michael Pollan,Paperback,2015
374,19.99,65,The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,"1,107",4.1,Jorge Cruise,Spiral-bound,2015
375,7.99,66,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)","27,798",4.8,Rick Riordan,Paperback,2015
376,13.79,67,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich","25,295",4.5,Timothy Ferriss,Hardcover,2015
377,18.50,68,"Full Dark, No Stars","5,719",4.5,Stephen King,Hardcover,2015
378,,69,Sizzling Sixteen (Stephanie Plum Novels),"7,168",4.5,Janet Evanovich,Hardcover,2015
379,23.89,70,The Grand Design,"4,061",4.4,Stephen Hawking,Hardcover,2015
380,17.20,71,The Overton Window ,"1,422",4.5,Glenn Beck,Hardcover,2015
381,8.89,72,"Jesus Calling, Padded Hardcover, with Scripture references","39,395",4.9,Sarah Young,Hardcover,2015
382,12.50,73,Spoken from the Heart,830,4.6,Laura Bush,Hardcover,2015
383,19.49,74,Diary of a Wimpy Kid Do-it-yourself Book,"9,930",4.8,Jeff Kinney,Hardcover,2015
384,22.42,75,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,"4,369",4.7,Mark Nepo,Paperback,2015
385,31.49,76,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","8,046",4.8,Julia Child,Hardcover,2015
386,15.80,77,Safe Haven,"15,035",4.6,Nicholas Sparks,Hardcover,2015
387,19.47,78,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",924,4.4,Daniel G. Amen,Hardcover,2015
388,,79,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet","1,677",4.5,Alicia Silverstone,Hardcover,2015
389,30.81,80,Decoded,"1,759",4.7,Jay-Z,Hardcover,2015
390,18.31,51,The Best of Me,"15,768",4.5,Nicholas Sparks,Hardcover,2015
391,11.75,52,Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,Jacqueline Kennedy,4.3,,Hardcover,2015
392,10.99,53,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),"30,923",4.5,Stieg Larsson,Paperback,2015
