title,author,rating,rank,number_of_reviews,price,cover_type,year
"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,21,"39,395",8.89,Hardcover,2010
The Hunger Games Trilogy Boxed Set,Suzanne Collins,4.8,22,"43,306",60.00,Hardcover,2010
Cutting for Stone,Abraham Verghese,4.6,23,"12,860",11.29,Paperback,2010
Tina Fey: Bossypants,Tina Fey,4.3,24,"19,969",8.75,Hardcover,2010
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.4,25,"8,180",15.96,Hardcover,2010
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",,4.3,26,Eric Larson,15.65,Hardcover,2010
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,27,"4,912",,Paperback,2010
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,28,"2,247",14.87,Paperback,2010
A Stolen Life: A Memoir,,4.6,29,Jaycee Dugard,17.00,Hardcover,2010
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.6,30,"24,773",12.90,Hardcover,2010
"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",E L James,4.2,1,"111,129",13.99,Paperback,2010
Fifty Shades Darker,E L James,4.5,2,"75,359",13.99,Paperback,2010
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",E L James,4.5,3,"61,570",13.88,Paperback,2010
The Hunger Games (Book 1),Suzanne Collins,4.7,4,"76,522",,Paperback,2010
StrengthsFinder 2.0,,4.1,5,Gallup,20.96,Hardcover,2010
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.6,6,"69,265",21.59,Paperback,2010
"Catching Fire (Hunger Games, Book Two): Volume 2",Suzanne Collins,4.7,7,"61,120",14.62,Hardcover,2010
Mockingjay (The Hunger Games),Suzanne Collins,4.6,8,"75,799",11.26,Hardcover,2010
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,9,"20,133",10.53,Hardcover,2010
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,10,"14,132",23.85,Hardcover,2010
The Hunger Games Trilogy Boxed Set,Suzanne Collins,4.8,11,"43,306",60.00,Hardcover,2010
Gone Girl,Gillian Flynn,4.1,12,"159,888",14.99,Hardcover,2010
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,13,"30,886",11.46,Hardcover,2010
The Official SAT Study Guide,,4.4,14,The College Board,,Paperback,2010
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.7,15,"8,359",42.84,Mass Market Paperback,2010
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.5,16,"15,431",16.44,Hardcover,2010
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,17,"12,910",19.78,Paperback,2010
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,18,"15,036",11.26,Hardcover,2010
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.7,19,"75,136",15.68,Hardcover,2010
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,,4.4,20,Eben Alexander,9.99,Paperback,2010
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,21,"4,912",,Paperback,2010
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,22,"2,478",18.29,Hardcover,2010
"Thinking, Fast and Slow",Daniel Kahneman,4.6,23,"39,285",19.47,Hardcover,2010
The Casual Vacancy,J.K. Rowling,3.6,24,"20,179",16.99,Hardcover,2010
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.7,25,"23,833",10.59,Paperback,2010
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,26,"36,496",21.08,Hardcover,2010
Steve Jobs,Walter Isaacson,4.7,27,"22,978",17.33,Hardcover,2010
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,28,"10,793",13.16,Hardcover,2010
"Oh, the Places You'll Go!  ",Dr. Seuss,4.9,29,"45,644",8.96,Hardcover,2010
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,4.6,30,Stephen R. Covey,20.00,Paperback,2010
StrengthsFinder 2.0,,4.1,1,Gallup,20.96,Hardcover,2011
